"fs_orleans" "g_faust" "g_iphigenia"
"kommen" 0.0270950261273466 0.0387609418908879 0.0196760018364268
"mußt" 0.0154828720727695 0.0516812558545173 0.0131173345576179
"namen" 0.0348364621637314 0.019380470945444 0.0459106709516626
"reims" 0.0851557964002322 0 0
"schuld" 0.0387071801819237 0.00969023547272199 0.0590280055092805
"segen" 0.0270950261273466 0.00646015698181466 0.0852626746245163
"siebel" 0 0.0710617267999612 0
"spricht" 0.0387071801819237 0.0161503924545366 0.0459106709516626
"still" 0.0232243081091542 0.0129203139636293 0.0787040073457074
"treten" 0.0387071801819237 0.0226105494363513 0.0327933363940447
"weil" 0.0348364621637314 0.029070706418166 0.0262346691152358
"altmayer" 0 0.0678316483090539 0
"edle" 0.0580607702728856 0.00646015698181466 0.0262346691152358
"fürsten" 0.0658022063092704 0 0.0262346691152358
"ganzen" 0.0193535900909619 0.0452210988727026 0.0131173345576179
"glauben" 0.0580607702728856 0.019380470945444 0
"hoffnung" 0.0116121540545771 0.0226105494363513 0.0721453400668984
"liebt" 0.030965744145539 0.0387609418908879 0.00655866727880895
"ruft" 0.0425778982001161 0.0161503924545366 0.0327933363940447
"seines" 0.0464486162183085 0.00969023547272199 0.0393520036728537
"sieh" 0.0116121540545771 0.0419910203817953 0.0327933363940447
"sprich" 0.0387071801819237 0.00969023547272199 0.0524693382304716
"that" 0 0 0.137732012854988
"vielleicht" 0.0116121540545771 0.029070706418166 0.0590280055092805
"vorigen" 0.0735436423456551 0 0.0131173345576179
"wagner" 0 0.0678316483090539 0
"auge" 0.0464486162183085 0.00323007849090733 0.0459106709516626
"ehre" 0.0541900522546932 0.019380470945444 0
"eilt" 0.061931488291078 0.00969023547272199 0.00655866727880895
"engel" 0.0425778982001161 0.029070706418166 0
"fällt" 0.0464486162183085 0.019380470945444 0.0131173345576179
"fastolf" 0.0774143603638475 0 0
"feuer" 0.00387071801819237 0.0419910203817953 0.0393520036728537
"folgt" 0.0503193342365009 0.0129203139636293 0.0196760018364268
"frau" 0.00774143603638475 0.0516812558545173 0.0131173345576179
"fremden" 0.0193535900909619 0.00646015698181466 0.0852626746245163
"führen" 0.030965744145539 0.0355308633999806 0.00655866727880895
"gib" 0.0270950261273466 0.029070706418166 0.0262346691152358
"hätte" 0.0193535900909619 0.0323007849090733 0.0327933363940447
"ihnen" 0.0193535900909619 0.0161503924545366 0.0655866727880895
"kaum" 0.0116121540545771 0.0323007849090733 0.0459106709516626
"königin" 0.061931488291078 0.00969023547272199 0.00655866727880895
"land" 0.0425778982001161 0.0226105494363513 0.0131173345576179
"lassen" 0.0232243081091542 0.0323007849090733 0.0262346691152358
"opfer" 0.0193535900909619 0.00646015698181466 0.0852626746245163
"priesterin" 0.00387071801819237 0 0.12461467829737
"stehn" 0.0387071801819237 0.0323007849090733 0
"verderben" 0.0387071801819237 0.0161503924545366 0.0327933363940447
"voll" 0.0116121540545771 0.029070706418166 0.0524693382304716
"wenig" 0.00774143603638475 0.0516812558545173 0.0131173345576179
"werd" 0.0348364621637314 0.029070706418166 0.0131173345576179
"aller" 0.0232243081091542 0.0387609418908879 0.00655866727880895
"beim" 0.00774143603638475 0.0549113343454246 0
"besten" 0.0193535900909619 0.0323007849090733 0.0262346691152358
"damit" 0.0116121540545771 0.0452210988727026 0.0131173345576179
"dringt" 0.0348364621637314 0.0258406279272586 0.0131173345576179
"eurem" 0.0348364621637314 0.029070706418166 0.00655866727880895
"frauen" 0.0270950261273466 0.019380470945444 0.0393520036728537
"freundlich" 0.0193535900909619 0.019380470945444 0.0524693382304716
"frieden" 0.0541900522546932 0.00969023547272199 0.0131173345576179
"fühlt" 0.0154828720727695 0.0258406279272586 0.0459106709516626
"kam" 0.0348364621637314 0.019380470945444 0.0262346691152358
"lieb" 0.00387071801819237 0.0549113343454246 0.00655866727880895
"lieben" 0.0232243081091542 0.0323007849090733 0.0196760018364268
"meer" 0.0116121540545771 0.0387609418908879 0.0262346691152358
"nennen" 0.0193535900909619 0.029070706418166 0.0327933363940447
"neuen" 0.00774143603638475 0.0387609418908879 0.0327933363940447
"reine" 0.0387071801819237 0.0129203139636293 0.0327933363940447
"schritt" 0.00774143603638475 0.0419910203817953 0.0262346691152358
"seite" 0.0387071801819237 0.019380470945444 0.0196760018364268
"selber" 0.0464486162183085 0.019380470945444 0.00655866727880895
"treibt" 0.0425778982001161 0.0161503924545366 0.0196760018364268
"ufer" 0 0 0.12461467829737
"verloren" 0.0387071801819237 0.019380470945444 0.0196760018364268
"weiter" 0.0270950261273466 0.029070706418166 0.0196760018364268
"welche" 0.030965744145539 0.0355308633999806 0
